# wavelength	flux	error
4.312312e+03	1.344372e+02	2.688745e+01
4.318318e+03	1.340635e+02	2.681271e+01
4.324324e+03	1.336914e+02	2.673828e+01
4.330330e+03	1.333208e+02	2.666416e+01
4.336336e+03	1.329518e+02	2.659035e+01
4.342342e+03	1.325842e+02	2.651685e+01
4.348348e+03	1.322182e+02	2.644365e+01
4.354354e+03	1.318537e+02	2.637075e+01
4.360360e+03	1.314908e+02	2.629815e+01
4.366366e+03	1.311293e+02	2.622586e+01
4.372372e+03	1.307693e+02	2.615386e+01
4.378378e+03	1.304108e+02	2.608215e+01
4.384384e+03	1.300537e+02	2.601074e+01
4.390390e+03	1.296981e+02	2.593963e+01
4.396396e+03	1.293440e+02	2.586880e+01
4.402402e+03	1.289913e+02	2.579827e+01
4.408408e+03	1.286401e+02	2.572802e+01
4.414414e+03	1.282903e+02	2.565806e+01
4.420420e+03	1.279419e+02	2.558838e+01
4.426426e+03	1.275950e+02	2.551899e+01
4.432432e+03	1.272494e+02	2.544988e+01
4.438438e+03	1.269053e+02	2.538105e+01
4.444444e+03	1.265625e+02	2.531250e+01
4.450450e+03	1.262211e+02	2.524423e+01
4.456456e+03	1.258811e+02	2.517623e+01
4.462462e+03	1.255425e+02	2.510850e+01
4.468468e+03	1.252053e+02	2.504105e+01
4.474474e+03	1.248694e+02	2.497388e+01
4.480480e+03	1.245348e+02	2.490697e+01
4.486486e+03	1.242016e+02	2.484033e+01
4.492492e+03	1.238698e+02	2.477395e+01
4.498498e+03	1.235392e+02	2.470784e+01
4.504505e+03	1.232100e+02	2.464200e+01
4.510511e+03	1.228821e+02	2.457642e+01
4.516517e+03	1.225555e+02	2.451110e+01
4.522523e+03	1.222302e+02	2.444604e+01
4.528529e+03	1.219062e+02	2.438124e+01
4.534535e+03	1.215835e+02	2.431670e+01
4.540541e+03	1.212620e+02	2.425241e+01
4.546547e+03	1.209419e+02	2.418838e+01
4.552553e+03	1.206230e+02	2.412460e+01
4.558559e+03	1.203053e+02	2.406107e+01
4.564565e+03	1.199890e+02	2.399779e+01
4.570571e+03	1.196738e+02	2.393476e+01
4.576577e+03	1.193599e+02	2.387199e+01
4.582583e+03	1.190473e+02	2.380945e+01
4.588589e+03	1.187358e+02	2.374716e+01
4.594595e+03	1.184256e+02	2.368512e+01
4.600601e+03	1.181166e+02	2.362332e+01
4.606607e+03	1.178088e+02	2.356176e+01
4.612613e+03	1.175022e+02	2.350044e+01
4.618619e+03	1.171968e+02	2.343936e+01
4.624625e+03	1.168926e+02	2.337852e+01
4.630631e+03	1.165896e+02	2.331792e+01
4.636637e+03	1.162877e+02	2.325755e+01
4.642643e+03	1.159870e+02	2.319741e+01
4.648649e+03	1.156875e+02	2.313751e+01
4.654655e+03	1.153892e+02	2.307784e+01
4.660661e+03	1.150920e+02	2.301839e+01
4.666667e+03	1.147959e+02	2.295918e+01
4.672673e+03	1.145010e+02	2.290020e+01
4.678679e+03	1.142072e+02	2.284144e+01
4.684685e+03	1.139146e+02	2.278291e+01
4.690691e+03	1.136230e+02	2.272461e+01
4.696697e+03	1.133326e+02	2.266653e+01
4.702703e+03	1.130433e+02	2.260867e+01
4.708709e+03	1.127551e+02	2.255103e+01
4.714715e+03	1.124681e+02	2.249361e+01
4.720721e+03	1.121821e+02	2.243641e+01
4.726727e+03	1.118971e+02	2.237943e+01
4.732733e+03	1.116133e+02	2.232267e+01
4.738739e+03	1.113306e+02	2.226612e+01
4.744745e+03	1.110489e+02	2.220978e+01
4.750751e+03	1.107683e+02	2.215366e+01
4.756757e+03	1.104888e+02	2.209775e+01
4.762763e+03	1.102103e+02	2.204206e+01
4.768769e+03	1.099328e+02	2.198657e+01
4.774775e+03	1.096565e+02	2.193129e+01
4.780781e+03	1.093811e+02	2.187622e+01
4.786787e+03	1.091068e+02	2.182136e+01
4.792793e+03	1.088335e+02	2.176671e+01
4.798799e+03	1.085613e+02	2.171225e+01
4.804805e+03	1.082900e+02	2.165801e+01
4.810811e+03	1.080198e+02	2.160396e+01
4.816817e+03	1.077506e+02	2.155012e+01
4.822823e+03	1.074824e+02	2.149648e+01
4.828829e+03	1.072152e+02	2.144304e+01
4.834835e+03	1.069490e+02	2.138980e+01
4.840841e+03	1.066838e+02	2.133676e+01
4.846847e+03	1.064195e+02	2.128391e+01
4.852853e+03	1.061563e+02	2.123126e+01
4.858859e+03	1.058940e+02	2.117880e+01
4.864865e+03	1.056327e+02	2.112654e+01
4.870871e+03	1.053724e+02	2.107448e+01
4.876877e+03	1.051130e+02	2.102260e+01
4.882883e+03	1.048546e+02	2.097092e+01
4.888889e+03	1.045971e+02	2.091942e+01
4.894895e+03	1.043406e+02	2.086812e+01
4.900901e+03	1.040850e+02	2.081700e+01
4.906907e+03	1.038304e+02	2.076607e+01
4.912913e+03	1.035767e+02	2.071533e+01
4.918919e+03	1.033239e+02	2.066477e+01
4.924925e+03	1.030720e+02	2.061440e+01
4.930931e+03	1.028211e+02	2.056422e+01
4.936937e+03	1.025711e+02	2.051421e+01
4.942943e+03	1.023220e+02	2.046439e+01
4.948949e+03	1.020737e+02	2.041475e+01
4.954955e+03	1.018264e+02	2.036529e+01
4.960961e+03	1.015800e+02	2.031601e+01
4.966967e+03	1.013345e+02	2.026691e+01
4.972973e+03	1.010899e+02	2.021798e+01
4.978979e+03	1.008462e+02	2.016923e+01
4.984985e+03	1.006033e+02	2.012066e+01
4.990991e+03	1.003613e+02	2.007227e+01
4.996997e+03	1.001202e+02	2.002405e+01
5.003003e+03	9.987999e+01	1.997600e+01
5.009009e+03	9.964061e+01	1.992812e+01
5.015015e+03	9.940209e+01	1.988042e+01
5.021021e+03	9.916443e+01	1.983289e+01
5.027027e+03	9.892762e+01	1.978552e+01
5.033033e+03	9.869166e+01	1.973833e+01
5.039039e+03	9.845654e+01	1.969131e+01
5.045045e+03	9.822226e+01	1.964445e+01
5.051051e+03	9.798881e+01	1.959776e+01
5.057057e+03	9.775620e+01	1.955124e+01
5.063063e+03	9.752441e+01	1.950488e+01
5.069069e+03	9.729345e+01	1.945869e+01
5.075075e+03	9.706330e+01	1.941266e+01
5.081081e+03	9.683397e+01	1.936679e+01
5.087087e+03	9.660546e+01	1.932109e+01
5.093093e+03	9.637775e+01	1.927555e+01
5.099099e+03	9.615084e+01	1.923017e+01
5.105105e+03	9.592474e+01	1.918495e+01
5.111111e+03	9.569943e+01	1.913989e+01
5.117117e+03	9.547492e+01	1.909498e+01
5.123123e+03	9.525119e+01	1.905024e+01
5.129129e+03	9.502825e+01	1.900565e+01
5.135135e+03	9.480609e+01	1.896122e+01
5.141141e+03	9.458471e+01	1.891694e+01
5.147147e+03	9.436411e+01	1.887282e+01
5.153153e+03	9.414427e+01	1.882885e+01
5.159159e+03	9.392521e+01	1.878504e+01
5.165165e+03	9.370690e+01	1.874138e+01
5.171171e+03	9.348936e+01	1.869787e+01
5.177177e+03	9.327257e+01	1.865451e+01
5.183183e+03	9.305654e+01	1.861131e+01
5.189189e+03	9.284125e+01	1.856825e+01
5.195195e+03	9.262672e+01	1.852534e+01
5.201201e+03	9.241292e+01	1.848258e+01
5.207207e+03	9.219987e+01	1.843997e+01
5.213213e+03	9.198755e+01	1.839751e+01
5.219219e+03	9.177596e+01	1.835519e+01
5.225225e+03	9.156510e+01	1.831302e+01
5.231231e+03	9.135497e+01	1.827099e+01
5.237237e+03	9.114556e+01	1.822911e+01
5.243243e+03	9.093687e+01	1.818737e+01
5.249249e+03	9.072889e+01	1.814578e+01
5.255255e+03	9.052163e+01	1.810433e+01
5.261261e+03	9.031508e+01	1.806302e+01
5.267267e+03	9.010923e+01	1.802185e+01
5.273273e+03	8.990409e+01	1.798082e+01
5.279279e+03	8.969965e+01	1.793993e+01
5.285285e+03	8.949590e+01	1.789918e+01
5.291291e+03	8.929285e+01	1.785857e+01
5.297297e+03	8.909048e+01	1.781810e+01
5.303303e+03	8.888881e+01	1.777776e+01
5.309309e+03	8.868781e+01	1.773756e+01
5.315315e+03	8.848750e+01	1.769750e+01
5.321321e+03	8.828787e+01	1.765757e+01
5.327327e+03	8.808891e+01	1.761778e+01
5.333333e+03	8.789062e+01	1.757812e+01
5.339339e+03	8.769301e+01	1.753860e+01
5.345345e+03	8.749605e+01	1.749921e+01
5.351351e+03	8.729977e+01	1.745995e+01
5.357357e+03	8.710414e+01	1.742083e+01
5.363363e+03	8.690916e+01	1.738183e+01
5.369369e+03	8.671484e+01	1.734297e+01
5.375375e+03	8.652118e+01	1.730424e+01
5.381381e+03	8.632816e+01	1.726563e+01
5.387387e+03	8.613578e+01	1.722716e+01
5.393393e+03	8.594405e+01	1.718881e+01
5.399399e+03	8.575298e+01	1.715060e+01
5.405405e+03	8.556298e+01	1.711260e+01
5.411411e+03	8.538050e+01	1.707610e+01
5.417417e+03	8.527245e+01	1.705449e+01
5.423423e+03	8.570052e+01	1.714010e+01
5.429429e+03	8.870872e+01	1.774174e+01
5.435435e+03	9.966133e+01	1.993227e+01
5.441441e+03	1.248603e+02	2.497206e+01
5.447447e+03	1.599991e+02	3.199982e+01
5.453453e+03	1.830208e+02	3.660415e+01
5.459459e+03	1.740069e+02	3.480137e+01
5.465465e+03	1.409594e+02	2.819189e+01
5.471471e+03	1.092652e+02	2.185305e+01
5.477477e+03	9.426061e+01	1.885212e+01
5.483483e+03	1.008094e+02	2.016187e+01
5.489489e+03	1.403631e+02	2.807263e+01
5.495495e+03	2.252625e+02	4.505250e+01
5.501502e+03	3.301670e+02	6.603341e+01
5.507508e+03	3.823640e+02	7.647280e+01
5.513514e+03	3.355966e+02	6.711931e+01
5.519520e+03	2.312596e+02	4.625191e+01
5.525526e+03	1.431372e+02	2.862745e+01
5.531532e+03	9.923790e+01	1.984758e+01
5.537538e+03	8.502666e+01	1.700533e+01
5.543544e+03	8.183815e+01	1.636763e+01
5.549550e+03	8.122263e+01	1.624453e+01
5.555556e+03	8.100319e+01	1.620064e+01
5.561562e+03	8.082530e+01	1.616506e+01
5.567568e+03	8.065087e+01	1.613017e+01
5.573574e+03	8.047714e+01	1.609543e+01
5.579580e+03	8.030398e+01	1.606080e+01
5.585586e+03	8.013137e+01	1.602627e+01
5.591592e+03	7.995933e+01	1.599187e+01
5.597598e+03	7.978783e+01	1.595757e+01
5.603604e+03	7.961689e+01	1.592338e+01
5.609610e+03	7.944649e+01	1.588930e+01
5.615616e+03	7.927665e+01	1.585533e+01
5.621622e+03	7.910734e+01	1.582147e+01
5.627628e+03	7.893858e+01	1.578772e+01
5.633634e+03	7.877036e+01	1.575407e+01
5.639640e+03	7.860267e+01	1.572053e+01
5.645646e+03	7.843552e+01	1.568710e+01
5.651652e+03	7.826890e+01	1.565378e+01
5.657658e+03	7.810281e+01	1.562056e+01
5.663664e+03	7.793725e+01	1.558745e+01
5.669670e+03	7.777222e+01	1.555444e+01
5.675676e+03	7.760771e+01	1.552154e+01
5.681682e+03	7.744372e+01	1.548874e+01
5.687688e+03	7.728025e+01	1.545605e+01
5.693694e+03	7.711730e+01	1.542346e+01
5.699700e+03	7.695486e+01	1.539097e+01
5.705706e+03	7.679294e+01	1.535859e+01
5.711712e+03	7.663152e+01	1.532630e+01
5.717718e+03	7.647062e+01	1.529412e+01
5.723724e+03	7.631022e+01	1.526204e+01
5.729730e+03	7.615032e+01	1.523006e+01
5.735736e+03	7.599093e+01	1.519819e+01
5.741742e+03	7.583203e+01	1.516641e+01
5.747748e+03	7.567364e+01	1.513473e+01
5.753754e+03	7.551574e+01	1.510315e+01
5.759760e+03	7.535833e+01	1.507167e+01
5.765766e+03	7.520142e+01	1.504028e+01
5.771772e+03	7.504499e+01	1.500900e+01
5.777778e+03	7.488905e+01	1.497781e+01
5.783784e+03	7.473360e+01	1.494672e+01
5.789790e+03	7.457863e+01	1.491573e+01
5.795796e+03	7.442415e+01	1.488483e+01
5.801802e+03	7.427014e+01	1.485403e+01
5.807808e+03	7.411661e+01	1.482332e+01
5.813814e+03	7.396355e+01	1.479271e+01
5.819820e+03	7.381097e+01	1.476219e+01
5.825826e+03	7.365886e+01	1.473177e+01
5.831832e+03	7.350722e+01	1.470144e+01
5.837838e+03	7.335605e+01	1.467121e+01
5.843844e+03	7.320535e+01	1.464107e+01
5.849850e+03	7.305511e+01	1.461102e+01
5.855856e+03	7.290533e+01	1.458107e+01
5.861862e+03	7.275601e+01	1.455120e+01
5.867868e+03	7.260714e+01	1.452143e+01
5.873874e+03	7.245874e+01	1.449175e+01
5.879880e+03	7.231079e+01	1.446216e+01
5.885886e+03	7.216329e+01	1.443266e+01
5.891892e+03	7.201624e+01	1.440325e+01
5.897898e+03	7.186965e+01	1.437393e+01
5.903904e+03	7.172350e+01	1.434470e+01
5.909910e+03	7.157779e+01	1.431556e+01
5.915916e+03	7.143253e+01	1.428651e+01
5.921922e+03	7.128771e+01	1.425754e+01
5.927928e+03	7.114333e+01	1.422867e+01
5.933934e+03	7.099939e+01	1.419988e+01
5.939940e+03	7.085588e+01	1.417118e+01
5.945946e+03	7.071281e+01	1.414256e+01
5.951952e+03	7.057017e+01	1.411403e+01
5.957958e+03	7.042797e+01	1.408559e+01
5.963964e+03	7.028619e+01	1.405724e+01
5.969970e+03	7.014484e+01	1.402897e+01
5.975976e+03	7.000391e+01	1.400078e+01
5.981982e+03	6.986341e+01	1.397268e+01
5.987988e+03	6.972334e+01	1.394467e+01
5.993994e+03	6.958368e+01	1.391674e+01
6.000000e+03	6.944444e+01	1.388889e+01
6.006006e+03	6.930562e+01	1.386112e+01
6.012012e+03	6.916722e+01	1.383344e+01
6.018018e+03	6.902923e+01	1.380585e+01
6.024024e+03	6.889166e+01	1.377833e+01
6.030030e+03	6.875449e+01	1.375090e+01
6.036036e+03	6.861773e+01	1.372355e+01
6.042042e+03	6.848138e+01	1.369628e+01
6.048048e+03	6.834544e+01	1.366909e+01
6.054054e+03	6.820990e+01	1.364198e+01
6.060060e+03	6.807477e+01	1.361495e+01
6.066066e+03	6.794003e+01	1.358801e+01
6.072072e+03	6.780570e+01	1.356114e+01
6.078078e+03	6.767176e+01	1.353435e+01
6.084084e+03	6.753822e+01	1.350764e+01
6.090090e+03	6.740507e+01	1.348101e+01
6.096096e+03	6.727232e+01	1.345446e+01
6.102102e+03	6.713996e+01	1.342799e+01
6.108108e+03	6.700799e+01	1.340160e+01
6.114114e+03	6.687641e+01	1.337528e+01
6.120120e+03	6.674521e+01	1.334904e+01
6.126126e+03	6.661440e+01	1.332288e+01
6.132132e+03	6.648398e+01	1.329680e+01
6.138138e+03	6.635394e+01	1.327079e+01
6.144144e+03	6.622428e+01	1.324486e+01
6.150150e+03	6.609499e+01	1.321900e+01
6.156156e+03	6.596609e+01	1.319322e+01
6.162162e+03	6.583757e+01	1.316751e+01
6.168168e+03	6.570941e+01	1.314188e+01
6.174174e+03	6.558164e+01	1.311633e+01
6.180180e+03	6.545423e+01	1.309085e+01
6.186186e+03	6.532720e+01	1.306544e+01
6.192192e+03	6.520053e+01	1.304011e+01
6.198198e+03	6.507424e+01	1.301485e+01
6.204204e+03	6.494831e+01	1.298966e+01
6.210210e+03	6.482274e+01	1.296455e+01
6.216216e+03	6.469754e+01	1.293951e+01
6.222222e+03	6.457270e+01	1.291454e+01
6.228228e+03	6.444823e+01	1.288965e+01
6.234234e+03	6.432411e+01	1.286482e+01
6.240240e+03	6.420035e+01	1.284007e+01
6.246246e+03	6.407695e+01	1.281539e+01
6.252252e+03	6.395390e+01	1.279078e+01
6.258258e+03	6.383121e+01	1.276624e+01
6.264264e+03	6.370886e+01	1.274177e+01
6.270270e+03	6.358688e+01	1.271738e+01
6.276276e+03	6.346524e+01	1.269305e+01
6.282282e+03	6.334395e+01	1.266879e+01
6.288288e+03	6.322300e+01	1.264460e+01
6.294294e+03	6.310241e+01	1.262048e+01
6.300300e+03	6.298215e+01	1.259643e+01
6.306306e+03	6.286224e+01	1.257245e+01
6.312312e+03	6.274268e+01	1.254854e+01
6.318318e+03	6.262345e+01	1.252469e+01
6.324324e+03	6.250457e+01	1.250091e+01
6.330330e+03	6.238602e+01	1.247720e+01
6.336336e+03	6.226781e+01	1.245356e+01
6.342342e+03	6.214993e+01	1.242999e+01
6.348348e+03	6.203239e+01	1.240648e+01
6.354354e+03	6.191518e+01	1.238304e+01
6.360360e+03	6.179831e+01	1.235966e+01
6.366366e+03	6.168176e+01	1.233635e+01
6.372372e+03	6.156554e+01	1.231311e+01
6.378378e+03	6.144966e+01	1.228993e+01
6.384384e+03	6.133409e+01	1.226682e+01
6.390390e+03	6.121886e+01	1.224377e+01
6.396396e+03	6.110395e+01	1.222079e+01
6.402402e+03	6.098936e+01	1.219787e+01
6.408408e+03	6.087509e+01	1.217502e+01
6.414414e+03	6.076115e+01	1.215223e+01
6.420420e+03	6.064752e+01	1.212950e+01
6.426426e+03	6.053422e+01	1.210684e+01
6.432432e+03	6.042123e+01	1.208425e+01
6.438438e+03	6.030855e+01	1.206171e+01
6.444444e+03	6.019620e+01	1.203924e+01
6.450450e+03	6.008415e+01	1.201683e+01
6.456456e+03	5.997242e+01	1.199448e+01
6.462462e+03	5.986100e+01	1.197220e+01
6.468468e+03	5.974989e+01	1.194998e+01
6.474474e+03	5.963908e+01	1.192782e+01
6.480480e+03	5.952859e+01	1.190572e+01
6.486486e+03	5.941840e+01	1.188368e+01
6.492492e+03	5.930852e+01	1.186170e+01
6.498498e+03	5.919894e+01	1.183979e+01
6.504505e+03	5.908967e+01	1.181793e+01
6.510511e+03	5.898070e+01	1.179614e+01
6.516517e+03	5.887203e+01	1.177441e+01
6.522523e+03	5.876366e+01	1.175273e+01
6.528529e+03	5.865559e+01	1.173112e+01
6.534535e+03	5.854782e+01	1.170956e+01
6.540541e+03	5.844034e+01	1.168807e+01
6.546547e+03	5.833316e+01	1.166663e+01
6.552553e+03	5.822627e+01	1.164525e+01
6.558559e+03	5.811968e+01	1.162394e+01
6.564565e+03	5.801338e+01	1.160268e+01
6.570571e+03	5.790737e+01	1.158147e+01
6.576577e+03	5.780165e+01	1.156033e+01
6.582583e+03	5.769622e+01	1.153924e+01
6.588589e+03	5.759108e+01	1.151822e+01
6.594595e+03	5.748623e+01	1.149725e+01
6.600601e+03	5.738166e+01	1.147633e+01
6.606607e+03	5.727738e+01	1.145548e+01
6.612613e+03	5.717338e+01	1.143468e+01
6.618619e+03	5.706966e+01	1.141393e+01
6.624625e+03	5.696623e+01	1.139325e+01
6.630631e+03	5.686307e+01	1.137261e+01
6.636637e+03	5.676020e+01	1.135204e+01
6.642643e+03	5.665761e+01	1.133152e+01
6.648649e+03	5.655529e+01	1.131106e+01
6.654655e+03	5.645325e+01	1.129065e+01
6.660661e+03	5.635149e+01	1.127030e+01
6.666667e+03	5.625000e+01	1.125000e+01
6.672673e+03	5.614879e+01	1.122976e+01
6.678679e+03	5.604784e+01	1.120957e+01
6.684685e+03	5.594717e+01	1.118943e+01
6.690691e+03	5.584678e+01	1.116936e+01
6.696697e+03	5.574665e+01	1.114933e+01
6.702703e+03	5.564679e+01	1.112936e+01
6.708709e+03	5.554720e+01	1.110944e+01
6.714715e+03	5.544787e+01	1.108957e+01
6.720721e+03	5.534881e+01	1.106976e+01
6.726727e+03	5.525002e+01	1.105000e+01
6.732733e+03	5.515149e+01	1.103030e+01
6.738739e+03	5.505323e+01	1.101065e+01
6.744745e+03	5.495522e+01	1.099104e+01
6.750751e+03	5.485748e+01	1.097150e+01
6.756757e+03	5.476000e+01	1.095200e+01
6.762763e+03	5.466278e+01	1.093256e+01
6.768769e+03	5.456582e+01	1.091316e+01
6.774775e+03	5.446911e+01	1.089382e+01
6.780781e+03	5.437266e+01	1.087453e+01
6.786787e+03	5.427647e+01	1.085529e+01
6.792793e+03	5.418053e+01	1.083611e+01
6.798799e+03	5.408485e+01	1.081697e+01
6.804805e+03	5.398942e+01	1.079788e+01
6.810811e+03	5.389424e+01	1.077885e+01
6.816817e+03	5.379932e+01	1.075986e+01
6.822823e+03	5.370464e+01	1.074093e+01
6.828829e+03	5.361022e+01	1.072204e+01
6.834835e+03	5.351604e+01	1.070321e+01
6.840841e+03	5.342211e+01	1.068442e+01
6.846847e+03	5.332843e+01	1.066569e+01
6.852853e+03	5.323499e+01	1.064700e+01
6.858859e+03	5.314180e+01	1.062836e+01
6.864865e+03	5.304886e+01	1.060977e+01
6.870871e+03	5.295615e+01	1.059123e+01
6.876877e+03	5.286369e+01	1.057274e+01
6.882883e+03	5.277148e+01	1.055430e+01
6.888889e+03	5.267950e+01	1.053590e+01
6.894895e+03	5.258776e+01	1.051755e+01
6.900901e+03	5.249627e+01	1.049925e+01
6.906907e+03	5.240501e+01	1.048100e+01
6.912913e+03	5.231399e+01	1.046280e+01
6.918919e+03	5.222321e+01	1.044464e+01
6.924925e+03	5.213266e+01	1.042653e+01
6.930931e+03	5.204235e+01	1.040847e+01
6.936937e+03	5.195227e+01	1.039045e+01
6.942943e+03	5.186242e+01	1.037248e+01
6.948949e+03	5.177281e+01	1.035456e+01
6.954955e+03	5.168343e+01	1.033669e+01
6.960961e+03	5.159429e+01	1.031886e+01
6.966967e+03	5.150537e+01	1.030107e+01
6.972973e+03	5.141668e+01	1.028334e+01
6.978979e+03	5.132822e+01	1.026564e+01
6.984985e+03	5.123999e+01	1.024800e+01
6.990991e+03	5.115199e+01	1.023040e+01
6.996997e+03	5.106421e+01	1.021284e+01
7.003003e+03	5.097666e+01	1.019533e+01
7.009009e+03	5.088933e+01	1.017787e+01
7.015015e+03	5.080223e+01	1.016045e+01
7.021021e+03	5.071535e+01	1.014307e+01
7.027027e+03	5.062870e+01	1.012574e+01
7.033033e+03	5.054226e+01	1.010845e+01
7.039039e+03	5.045605e+01	1.009121e+01
7.045045e+03	5.037006e+01	1.007401e+01
7.051051e+03	5.028429e+01	1.005686e+01
7.057057e+03	5.019873e+01	1.003975e+01
7.063063e+03	5.011340e+01	1.002268e+01
7.069069e+03	5.002828e+01	1.000566e+01
7.075075e+03	4.994338e+01	9.988675e+00
7.081081e+03	4.985869e+01	9.971738e+00
7.087087e+03	4.977422e+01	9.954844e+00
7.093093e+03	4.968996e+01	9.937993e+00
7.099099e+03	4.960592e+01	9.921185e+00
7.105105e+03	4.952209e+01	9.904419e+00
7.111111e+03	4.943848e+01	9.887695e+00
7.117117e+03	4.935507e+01	9.871014e+00
7.123123e+03	4.927188e+01	9.854375e+00
7.129129e+03	4.918889e+01	9.837779e+00
7.135135e+03	4.910612e+01	9.821224e+00
7.141141e+03	4.902355e+01	9.804710e+00
7.147147e+03	4.894119e+01	9.788239e+00
7.153153e+03	4.885904e+01	9.771809e+00
7.159159e+03	4.877710e+01	9.755420e+00
7.165165e+03	4.869543e+01	9.739085e+00
7.171171e+03	4.861523e+01	9.723046e+00
7.177177e+03	4.855355e+01	9.710710e+00
7.183183e+03	4.867196e+01	9.734392e+00
7.189189e+03	4.998222e+01	9.996445e+00
7.195195e+03	5.650035e+01	1.130007e+01
7.201201e+03	7.736936e+01	1.547387e+01
7.207207e+03	1.203301e+02	2.406603e+01
7.213213e+03	1.726839e+02	3.453678e+01
7.219219e+03	1.979640e+02	3.959280e+01
7.225225e+03	1.737396e+02	3.474791e+01
7.231231e+03	1.214258e+02	2.428515e+01
7.237237e+03	7.775180e+01	1.555036e+01
7.243243e+03	5.618676e+01	1.123735e+01
7.249249e+03	4.926417e+01	9.852834e+00
7.255255e+03	4.772735e+01	9.545471e+00
7.261261e+03	4.743754e+01	9.487508e+00
7.267267e+03	4.733819e+01	9.467637e+00
7.273273e+03	4.725860e+01	9.451720e+00
7.279279e+03	4.718058e+01	9.436116e+00
7.285285e+03	4.710282e+01	9.420563e+00
7.291291e+03	4.702525e+01	9.405050e+00
7.297297e+03	4.694787e+01	9.389575e+00
7.303303e+03	4.687069e+01	9.374138e+00
7.309309e+03	4.679369e+01	9.358739e+00
7.315315e+03	4.671689e+01	9.343378e+00
7.321321e+03	4.664027e+01	9.328054e+00
7.327327e+03	4.656384e+01	9.312769e+00
7.333333e+03	4.648760e+01	9.297521e+00
7.339339e+03	4.641155e+01	9.282310e+00
7.345345e+03	4.633568e+01	9.267137e+00
7.351351e+03	4.626000e+01	9.252000e+00
7.357357e+03	4.618451e+01	9.236901e+00
7.363363e+03	4.610920e+01	9.221839e+00
7.369369e+03	4.603407e+01	9.206814e+00
7.375375e+03	4.595912e+01	9.191825e+00
7.381381e+03	4.588436e+01	9.176873e+00
7.387387e+03	4.580979e+01	9.161957e+00
7.393393e+03	4.573539e+01	9.147078e+00
7.399399e+03	4.566117e+01	9.132235e+00
7.405405e+03	4.558714e+01	9.117428e+00
7.411411e+03	4.551328e+01	9.102657e+00
7.417417e+03	4.543961e+01	9.087921e+00
7.423423e+03	4.536611e+01	9.073222e+00
7.429429e+03	4.529279e+01	9.058558e+00
7.435435e+03	4.521965e+01	9.043930e+00
7.441441e+03	4.514669e+01	9.029337e+00
7.447447e+03	4.507390e+01	9.014780e+00
7.453453e+03	4.500129e+01	9.000257e+00
7.459459e+03	4.492885e+01	8.985770e+00
7.465465e+03	4.485659e+01	8.971317e+00
7.471471e+03	4.478450e+01	8.956900e+00
7.477477e+03	4.471259e+01	8.942517e+00
7.483483e+03	4.464084e+01	8.928169e+00
7.489489e+03	4.456928e+01	8.913855e+00
